Company name,Country,City,Province,Site address,Company website,BAP Cert,ASC Cert,FOS Cert,FIP Cert,MarinTrust Cert
QL Marine Products Sdn.Bhd.,Malaysia,,,,,,,,,
Omega Fishing,Senegal,,,,,,,,,
Concentrados De Proteinas S.A.C,Peru,,,,,,,,,
Pesquera Exalmar S.A.,Peru,,,,,,,,,
Pesquera Hayduk S.A.,Peru,,,,,,,,,
King Pelagique,Morocco,,,,,,,,,
Pesquera Hayduk S.A.,Peru,,,,,,,,,
Gümüşdoğa Su Ürünleri Üretim İhracat Ve İthalat A.Ş.Yem Fabrikası,Turkey,,,,,,,,,
Gürdal Yem Enerji Tarım Gıda Hayvancılık Sanayi ve Ticaret A.Ş. Yem Fabrikası,Turkey,,,,,,,,,
İpek Yem ve Gıda San. Tic. A.Ş.-Yem Fabrikası,Turkey,,,,,,,,,
Omega Fishmeal And Oil Private Limited,India,,,,,,,,,
Pacific Marine Products,India,,,,,,,,,
Progress Frozen and Fish Sterilization,India,,,,,,,,,
Quality foods,India,,,,,,,,,
Blueline Foods (India) Pvt. Ltd. Unit-IV,India,,,,,,,,,
PESQUERA HAYDUK S.A.,Peru,,,,,,,,,
Pesquera Hayduk S.A.,Peru,,,,,,,,,
Pesquera Hayduk S.A.,Peru,,,,,,,,,
CORPORACION PESQUERA 1313 S.A.,Peru,,,,,,,,,
Independent Fisheries Limited,New Zealand,,,,,,,,,
Setalg,France,,,,,,,,,
Los Glaciares S.A.,Chile,,,,,,,,,
Pescasud SARLAU,Morocco,,,,,,,,,
Shri Rozy Fish Meal and oil,India,,,,,,,,,
Sogenco,Morocco,,,,,,,,,
Peruvian Sea Food S.A.,Peru,,,,,,,,,
ASK Andaman Ltd,Myanmar,,,,,,,,,
"Marine Acary Production Co.,Ltd",Myanmar,,,,,,,,,
Kiyak Kardesler-Black Sea Co.,Turkey,,,,,,,,,
LTD MBM,Georgia,,,,,,,,,
Rybolovetskaya artel (kolkhoz) im. 50 let Oktyabrya,Russia,,,,,,,,,
Production Association Sakhalinrybaksoyuz LLC,Russia,,,,,,,,,
JSC Turnif,Russia,,,,,,,,,
Hawkes Bay Protein Limited,New Zealand,,,,,,,,,
Pesquera Miguel Angel S.A.C.,Peru,,,,,,,,,
Pesquera Natalia S.A.C.,Peru,,,,,,,,,
Pesquera Diamante S.A.,Peru,,,,,,,,,
M/S Balochistan Marines Products，Pakistan,Pakistan,,,,,,,,,
"Marksmen Aquatic Products, LLP",India,,,,,,,,,
Tirupati Fish Meal,India,,,,,,,,,
Pak China Fish Meal,Pakistan,,,,,,,,,
Global Fish Trading Sarl,Western Sahara,,,,,,,,,
Laayoune Proteine S.A.R.L,Western Sahara,,,,,,,,,
Bransomar S.A.C.,Peru,,,,,,,,,
Pesquera Nemesis S.A.C.,Peru,,,,,,,,,
Pesca Peru Tambo De Mora Norte S.A.,Peru,,,,,,,,,
Marine Industrial Corporation S.A.C. - Marincorp,Peru,,,,,,,,,
K.B. Fish,Western Sahara,,,,,,,,,
Aung Myat Phyo Int'l Fish Meal Plant,Myanmar,,,,,,,,,
Laayoune Proteine S.A.R.L,Western Sahara,,,,,,,,,
Tecnologias en Favor del Medio Ambiente S.A.C.,Peru,,,,,,,,,
Triada Foods S.A.C.,Peru,,,,,,,,,
Pesquera Hillary E.I.R.L.,Peru,,,,,,,,,
Productora Amg S.A.C.,Peru,,,,,,,,,
Pesquera Canhann S.A.C.,Peru,,,,,,,,,
Cnc S.A.C.,Peru,,,,,,,,,
Corporacion Industrial Milagros Del Mar S.A.,Peru,,,,,,,,,
Corporacion Pesquera Inca S.A.C.,Peru,,,,,,,,,
Don Raul S.A.C.,Peru,,,,,,,,,
Empresa Pesquera Gamma S.A.,Peru,,,,,,,,,
Fishpro Nor Peru S.A.C.,Peru,,,,,,,,,
Group Corporation Reye's S.A.C.,Peru,,,,,,,,,
Industrial Don Martin S.A.C.,Peru,,,,,,,,,
Inversiones Regal S.A,Peru,,,,,,,,,
Htoo Htoo Toe International Company Limited,Myanmar,,,,,,,,,
"JSC ""ASK"" aka Agency Selkhozkorma",Russia,,,,,,,,,
Natural Protein Technologies S.A.C.,Peru,,,,,,,,,
Pesquera Altair S.A.C.,Peru,,,,,,,,,
Pesquera Maress S.A.C,Peru,,,,,,,,,
Pesquera Op7 & Bell S.A.C. / Op7 & Bell S.A.C.,Peru,,,,,,,,,
Pesquera Rubi S.A.,Peru,,,,,,,,,
Pesquera Z Y T S.A.C.,Peru,,,,,,,,,
Procesadora De Productos Marinos SA,Peru,,,,,,,,,
San Fernando S.A.,Peru,,,,,,,,,
San Fernando S.A.,Peru,,,,,,,,,
Solmar Empresa Pesquera S.A.,Peru,,,,,,,,,
Soraya S.A.C.,Peru,,,,,,,,,
Tecnológica de Alimentos S.A. (TASA),Peru,,,,,,,,,
Tecnológica de Alimentos S.A. (TASA),Peru,,,,,,,,,
Tecnológica de Alimentos S.A. (TASA),Peru,,,,,,,,,
Transmarina Del Peru Sociedad Anonima Cerrada - Transmarina Del Peru S.A.C.,Peru,,,,,,,,,
"LLC ""Kamchattralflot""",Russia,,,,,,,,,
NordFeed LLC,Russia,,,,,,,,,
"[OLD NAME: Tymlatsky Rybokombinat Co., Ltd. Fish Factory] Tymlatsky Fish Factory",Russia,,,,,,,,,
