Company name,Country,City,Province,Site address,Company website,BAP Cert,ASC Cert,FOS Cert,FIP Cert,MarinTrust Cert
CV SUMBER REJEKI MAKMUR SEJAHTERA,Indonesia,,Jawa Timur,"H82Q+G96, Dusun Stoplas, Kedungrejo, Kec. Muncar, Kabupaten Banyuwangi, Jawa Timur 68472, Indonesia",,,,,,
Comapeche Farine S.A.,Mauritania,Nouakchott,Nouakchott-Ouest,"4X3G+5CX, Nouakchott, Mauritania",,,,,,
Janatha Inter Fish Protein,Mauritania,Nouakchott,Nouakchott Sud,"32FR+CP6 Port de pêche à Nouakchott 471, Nouakchott, Mauritania",,,,,,
REMO ROHN S.A.,Ecuador,Quito,Pichincha,"C. E9, Quito 170144, Ecuador",,,,,,
ROSMEY S.A.,Ecuador,,Pichincha,"Recinto la Celica - Calle Loja Pedro Vicente Maldonado, 170850, Ecuador",https://www.banco-solidario.com/sites/default/files/2020-02/Base-de-Agentes-Pago-%C3%81gil-2020-Enero.xlsx,,,,,
SEGUNDO FELIPE ASCENCIO RIVERA,Ecuador,,,,https://www.marin-trust.com/sites/marintrust/files/2022-05/MOU%20ECUAFEED.pdf,,,,,
"INDAH KEMILAU ALAM NUSANTARA, CV",Indonesia,,Jakarta,"RX49+F2H, RT.7/RW.5, Ujung Menteng, Cakung, East Jakarta City, Jakarta 13960, Indonesia",,,,,,
Industri Tepung,Indonesia,,Daerah Khusus Ibukota Jakarta,"L'Avenue office tower floor 20c Jl. Raya pasar minggu kav.16 Jakarta selatan, RT.1/RW.7, Duren Tiga, Kec. Pancoran, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12780, Indonesia",https://www.semuabis.com/pt-raja-tepung-indonesia_2e-021-80667171,,,,,
Mauritania Business SARL,Mauritania,Nouadhibou,,"20.906096, -17.043138, Nouadhibou, Mauritania",https://www.africabizinfo.com/fr-MR/p%C3%A2tisserie-pleine-lune,,,,,
SIQUALITY S.A.,Ecuador,Guayaquil,Guayas,"V425+JVQ, Guayaquil 090513, Ecuador",,,,,,
JXYG,Gambia,Banjul,Kerewan,"Farafenni, Banjul, The Gambia",https://senegal.mid.ru/upload/iblock/729/729ec210e61c6d946e6916aa006e890b.pdf,,,,,
STOLLER ECUADOR S.A.,Ecuador,Quito,Pichincha,"Avenue Alonso de Angulo, Quito 170111, Ecuador",,,,,,
Mauritania Sea Food SARL,Mauritania,Nouakchott,Nouakchott Sud,"32FR+CP6 Port de pêche à Nouakchott 471, Nouakchott, Mauritania",,,,,,
PT Lautan Kembar Sejati,Indonesia,,Central Java,"RT.05/RW.02, Mutalan, Purworejo, Kaliori, Rembang Regency, Central Java 59252, Indonesia",https://perusahaan.net/detail/g6mn6/Lautan-Kembar-Sejati/,,,,,
UNIVERSAL DE COMERCIO S.A. UNICORSA,Ecuador,,Guayas,"Villa 28 Mz 13, Ecuador",https://www.produccion.gob.ec/wp-content/uploads/2024/08/BARCOS-SARDINEROS-BP-SARD-OTROS-15082024.pdf,,,,,
Mulia abadi tepung ikan (Noble perennial fishmeal),Indonesia,,,,https://pdfcoffee.com/work-sample-3-pdf-free.html,,,,,
PT Munchar,Indonesia,,Jawa Timur,"H86R+988, Dusun Sampangan, Kedungrejo, Kec. Muncar, Kabupaten Banyuwangi, Jawa Timur 68472, Indonesia",,,,,,
MOUHIT AL BARAKA SA,Mauritania,Nouakchott,South Nouakchott,"Marocaine Market, Rue Bakary Hakha, Nouakchott, Mauritania",https://downloads.cs.stanford.edu/nlp/data/jiwei/data/vocab_wiki.txt,,,,,
Pabrik Tepung Ikan PPP Tegalsari (PPP Tegalsari Fish Meal Factory),Indonesia,,Central Java,"542G+3WW, Tegalsari, Tegal Barat, Tegal City, Central Java 52111, Indonesia",,,,,,
PT Adhinusa Dian Manggalindo,Indonesia,,Jawa Tengah,"Jl. Bali No.10, Mintaragen, Kec. Tegal Tim., Kota Tegal, Jawa Tengah 52121, Indonesia",,,,,,
PT. Bali Omega,Indonesia,,Bali,"Jl. Pantai Selatan No.7, Cupel, Kec. Negara, Kabupaten Jembrana, Bali 82218, Indonesia",https://jembranakab.go.id/foto_beritaskpd/20150325_100216dkpk2014.pdf,,,,,
PT. CNL Maju Bersatu,Indonesia,,Jawa Tengah,"Jl. Wr. Supratman No.131 RT. 001, Panjang Wetan, Kec. Pekalongan Utara, Kota Pekalongan, Jawa Tengah 51141, Indonesia",https://id.scribd.com/document/619267701/Direktori-Industri-Manufaktur-Indonesia-2022,,,,,
Ud Samudra Kencana,Indonesia,,Bali,"JH5H+XWP, Pengambengan, Negara, Jembrana Regency, Bali 82218, Indonesia",,,,,,
Omaurci SA,Mauritania,Nouadhibou,,"BP 238, Nouadhibou, Mauritania",https://mauritania-pelagic.com/,,,,,
PT Sarifeed Indojaya,Indonesia,,Jawa Timur,"Jalan Pelabuhan No No.35, Dusun Sampangan, Kedungrejo, Kec. Muncar, Kabupaten Banyuwangi, Jawa Timur 68472, Indonesia",https://diskanlut.jatimprov.go.id/files/uploads/2016/04/ukm_dan_upi.pdf,,,,,
Proteine Seafood,Mauritania,Nouakchott,Nouakchott-Ouest,"4X3G+5CX, Nouakchott, Mauritania",,,,,,
Rim Fish Meal,Mauritania,Nouakchott,Nouakchott Sud,"32FR+CP6 Port de pêche à Nouakchott 471, Nouakchott, Mauritania",,,,,,
SFHP SARL,Mauritania,,,,https://www.fip-petitspelagiques-mauritanie.org/partenaires,,,,,
Tepung Ikan Bangkit Jaya (Bangkit Jaya Fish Meal),Indonesia,,Jawa Tengah,"542J+3HX, Jl. Jongor, Tegalsari, Kec. Tegal Bar., Kota Tegal, Jawa Tengah 52111, Indonesia",https://pdfcoffee.com/direktori-industri-manufaktur-2020-pdf-free.html,,,,,
TEPUNG IKAN BYPASS KRIAN,Indonesia,,Jawa Timur,"Jl. Bypass Krian, RT.4/RW.2, Tundungan, Sidomojo, Kec. Krian, Kabupaten Sidoarjo, Jawa Timur 12262, Indonesia",,,,,,
Tepung Ikan Manual Muncar (Muncar manual fish meal),Indonesia,,Jawa Timur,"Jl. Sampangan, Dusun Sampangan, Kedungrejo, Kec. Muncar, Kabupaten Banyuwangi, Jawa Timur 68472, Indonesia",https://id.scribd.com/document/495925154/Direktori-Industri-Manufaktur-2020,,,,,
TEPUNG IKAN MURNI BEKASI (BEKASI PURE FISH FLOUR),Indonesia,,Jawa Barat,"Gg. Moh. Usir, Duren Jaya, Kec. Bekasi Tim., Kota Bks, Jawa Barat 17111, Indonesia",,,,,,
Tepung ikan/minyak ikan SBR (SBR fish meal/fish oil),Indonesia,,Jawa Timur,"JFGC+99R, Jl. Polda Sabari, Manderan II, Puger Kulon, Kec. Puger, Kabupaten Jember, Jawa Timur 68164, Indonesia",,,,,,
PT. Sais Jaya Abadi,Indonesia,,Jawa Timur,"Karang Gayam, Sumberrame, Kec. Wringinanom, Kabupaten Gresik, Jawa Timur 61176, Indonesia",,,,,,
Agouzzal & CIE S.A.,Morocco,,,,https://rocketreach.co/moulay-agouzzal-email_107185704,,,,,
Pesquera Herco SA,Ecuador,Chanduy,Santa Elena,"J73V+P5M, Chanduy, Ecuador",,,,,,
CV Bumi Indo,Indonesia,,Jawa Timur,"Jl. Tirta Suam No.1, Mergelo, Kedundung, Kec. Magersari, Kota Mojokerto, Jawa Timur 61312, Indonesia",https://www.daftar.co/perusahaan-di-mojokerto/,,,,,
Pabrik Tepung Ikan,Indonesia,,Jawa Barat,"Jl. Lembur 3 No.23, RT.002/RW.005, Jatirangga, Kec. Jatisampurna, Kota Bks, Jawa Barat 17433, Indonesia",https://fliphtml5.com/ejapx/ftqw/Sampel_eBook_Wisuda_Universitas_Pancasila_2020/,,,,,
PT Bumi Indo Jaya,Indonesia,,Jawa Tengah,"Jl. Raya Tegal - Pemalang No.KM, RW.7, Area Sawah/Kebun, Kramat, Kec. Kramat, Kabupaten Tegal, Jawa Tengah 52181, Indonesia",https://www.akli.org/direktori-20-2,,,,,
PT Indocitra Jaya Sumadera,Indonesia,,Bali,"JL. Ketapang, Pangambengan, Negara, JH2Q+2P5, Pengambengan, Denpasar, Pengambengan, Kec. Negara, Kabupaten Jembrana, Bali, Indonesia",,,,,,
IQI BV,Netherlands,Amersfoort,Utrecht,"Smallepad 32, 3811 MG Amersfoort, Netherlands",,,,,,
Almeve SARL,Morocco,Safi,Marrakech-Safi,"Route du, 7P5R+95R, Rte Jorf El Youdi, Safi 46000, Morocco",https://www.goafricaonline.com/ma/annuaire/agroalimentaire,,,,,
Complexe Industriel des Produits de la Mer (CIPMER) S.A,Morocco,Agadir,Souss-Massa,"Nouveau Port D'Anza, Parcelle 85, Agadir 80000, Morocco",,,,,,
Dinay Bluewave,Morocco,Tétouan,Tanger-Tétouan-Al Hoceima,"26, de 93000, Association QUARTIER INDUSTRIEL TETOUAN - AQIT, Tétouan, Morocco",,,,,,
Malufra 2,Morocco,,,,https://www.seafoodfrommorocco.com/fr/all_exportateurs/malufra-2/,,,,,
Olvea Atlantic 2,Morocco,,,,https://www.olvea.com/,,,,,
Beltran Peru E.I.R.L.,Peru,Lima,Gobierno Regional de Lima,"Av Cascanueces Mz M Lote 6 Sublote 1 - Santa Anita Lima, Lima 15011, Peru",,,,,,
S.P.P. (Sous Produits du Poisson),Morocco,Safi,Marrakech-Safi,"7P4R+55Q, Oued Tensift, Safi, Morocco",,,,,,
Pesquera Miguel Angel S.A.C.,Peru,,,,https://repositorio.ucv.edu.pe/handle/20.500.12692/39237,,,,,
Tan Tan Sardine,Morocco,Tan-Tan,Guelmim-Oued Noun,"Z.I Route Tilemzoune, B.P. 270 - Tan Tan، Tan-Tan 82000, Morocco",,,,,,
Tantasar,Morocco,Tantan,Guelmim-Oued Noun,"G2W4+8XG, Tantan, Morocco",,,,,,
Tadel SA,Ecuador,Manta,Manabí,"Km. 7. via, Av 5, Manta, Ecuador",https://www.produccion.gob.ec/wp-content/uploads/2022/10/EC-ABP-FSB-6-es.pdf,,,,,
Pesquera 2020 S.A.C.,Peru,,,,https://www.gob.pe/institucion/produce/normas-legales/1329057-00139-2020-produce-dgaampa,,,,,
ECUAFEED S.A.,Ecuador,Monteverde,Santa Elena,"X73P+55P, Monteverde, Ecuador",,,,,,
